날짜,시가,고가,저가,종가,거래량,거래대금,등락률,감성분석
2022-06-02,66600,67000,66400,66700,14959443,996681075588,-1.04,-0.04661125000046097
2022-06-03,67200,67300,66800,66800,8222883,550654655700,0.15,-0.06546832249437767
2022-06-07,66200,66400,65400,65500,19355755,1273444989300,-1.95,-0.07077024707160078
2022-06-08,65400,65700,65300,65300,12483180,817379109300,-0.31,-0.06521847581276784
2022-06-09,65100,65200,64500,65200,25790725,1673763680952,-0.15,-0.09374048523301841
2022-06-10,64000,64400,63800,63800,22193552,1419245099700,-2.15,-0.08194230722664465
2022-06-13,62400,62800,62100,62100,22157816,1380636801900,-2.66,-0.06481964607430242
2022-06-14,61200,62200,61100,61900,24606419,1519195265000,-0.32,-0.058521983492088696
2022-06-15,61300,61500,60200,60700,26811224,1630190882434,-1.94,-0.07805969214321051
2022-06-16,61300,61800,60500,60900,23394895,1431052309321,0.33,-0.0484533240370613
2022-06-17,59400,59900,59400,59800,29053450,1732449618748,-1.81,-0.06376487327951556
2022-06-20,59800,59900,58100,58700,34111306,1997076972175,-1.84,-0.0724927170825331
2022-06-21,58700,59200,58200,58500,25148109,1474998298400,-0.34,-0.049698389168502145
2022-06-22,59000,59100,57600,57600,23334687,1360076149300,-1.54,-0.06590697045577187
2022-06-23,57700,58000,56800,57400,28338608,1627019443340,-0.35,-0.07201032877823994
2022-06-24,57900,59100,57700,58400,23256103,1359292776100,1.74,-0.0524720247979601
2022-06-27,59000,59900,58300,58800,18122236,1071186745402,0.68,-0.048882580473660474
2022-06-28,59200,59500,58700,59400,13540538,800041009700,1.02,-0.046060735345748574
2022-06-29,58500,58800,58000,58000,14677138,855770425874,-2.36,-0.056223387871477314
2022-06-30,57200,57600,57000,57000,18915142,1082799462452,-1.72,-0.06195729889436936
2022-07-01,56900,57500,55900,56200,24982097,1412473217495,-1.4,-0.07712851575688023
2022-07-04,56100,57400,55700,57100,17807126,1012586831300,1.6,-0.06774702139887649
2022-07-05,57600,58200,57200,57200,14216539,818079785900,0.18,-0.05684838338699782
2022-07-06,57300,57300,56400,56400,16820461,955957046500,-1.4,-0.07916456912140171
2022-07-07,56400,58700,56300,58200,21322833,1234677644065,3.19,-0.04364315119212126
2022-07-08,58600,59300,58200,58700,15339271,902198939736,0.86,-0.0696255344217495
2022-07-11,59300,59600,58700,58800,13042624,771042671500,0.17,-0.06678362778266239
2022-07-12,58600,58700,58100,58100,9336061,544403361000,-1.19,-0.07867611984198142
2022-07-13,58300,58600,58000,58000,10841315,631711977700,-0.17,-0.07624051551056664
2022-07-14,57500,58200,57400,57500,15067012,869131233435,-0.86,-0.07719837859024381
2022-07-15,58400,60000,58100,60000,18685583,1104045143300,4.35,-0.03301512453635113
2022-07-18,60600,62000,60500,61900,20832517,1277727157981,3.17,-0.04421067957844887
2022-07-19,61400,61500,60200,60900,15248261,925919721166,-1.62,-0.07857939462371433
2022-07-20,61800,62100,60500,60500,16782238,1025939109200,-0.66,-0.07945969083685483
2022-07-21,61100,61900,60700,61800,12291374,754854999650,2.15,-0.05867859434893992
2022-07-22,61800,62200,61200,61300,10261310,631872940300,-0.81,-0.0669063124028567
2022-07-25,60900,61900,60800,61100,9193681,565540190900,-0.33,-0.08150960626992534
2022-07-26,60800,61900,60800,61700,6597211,405310045900,0.98,-0.113607532181585
2022-07-27,61300,61900,61200,61800,7320997,449989960800,0.16,-0.11500115165414052
2022-07-28,62300,62600,61600,61900,10745302,667085256100,0.16,-0.1105532833405275
2022-07-29,62400,62600,61300,61400,15093120,932917972000,-0.81,-0.09776950239626357
2022-08-01,61000,61700,60300,61300,13154816,803034710500,-0.16,-0.09112431554530481
2022-08-02,61200,61900,61000,61700,13614895,837567187000,0.65,-0.05213361664465019
2022-08-03,61600,61600,61000,61300,10053861,615480978400,-0.65,-0.07114212548235316
2022-08-04,61700,61800,61200,61500,9125439,561835808800,0.33,-0.08140359442002577
2022-08-05,61700,61900,61200,61500,9567620,588582544800,0.0,-0.09354311177592056
2022-08-08,61400,61400,60600,60800,11313150,689020306900,-1.14,-0.10471634880233681
2022-08-09,60600,60700,59600,60000,18251170,1094260322600,-1.32,-0.0751034697679872
2022-08-10,58900,59200,58600,59100,18084349,1065592854894,-1.5,-0.08737343933010913
2022-08-11,59600,60000,59300,59900,15141941,903738904000,1.35,-0.06219254084170532
2022-08-12,59500,60700,59400,60200,10786658,648793200100,0.5,-0.07614224873572333
2022-08-16,60500,61600,60300,61000,15036727,917516142200,1.33,-0.017249902236642304
2022-08-17,61100,61200,60300,60400,9061518,550059085700,-0.98,-0.0551476467256621
2022-08-18,60300,61900,60000,61500,16372754,997986949000,1.82,-0.05938914386357074
2022-08-19,61400,61600,60600,60900,6923679,421908759900,-0.98,-0.08325489609435525
2022-08-22,60300,60400,59800,60000,8259865,495732266100,-1.48,-0.08623309113286347
2022-08-23,59000,59600,59000,59100,9041629,535657353300,-1.5,-0.0858628184230273
2022-08-24,59200,59500,59000,59000,8888486,525406965200,-0.17,-0.09198795572374392
2022-08-25,59200,59700,59000,59700,5767902,342780937200,1.19,-0.09242293253650703
2022-08-26,60300,60900,59900,60000,9499995,573040309950,0.5,-0.058543682782210095
2022-08-29,58700,58900,58600,58600,9841329,577684200900,-2.33,-0.08287834058203968
2022-08-30,58700,59000,58300,58800,9690044,567627668500,0.34,-0.0947275247243942
2022-08-31,58200,59900,58200,59700,14203512,841319635900,1.53,-0.09012348678097529
2022-09-01,58700,58900,58300,58400,14905777,872374620601,-2.18,-0.07520712338260324
2022-09-02,58300,58600,57500,57500,15040310,872040367551,-1.54,-0.10547461128304006
2022-09-05,57400,57800,56800,57100,11425977,653884056584,-0.7,-0.10408936315897657
2022-09-06,57200,57600,56900,57100,7503086,429152038700,0.0,-0.09837760851550835
2022-09-07,56700,56700,55900,56000,17384854,975695179700,-1.93,-0.08435025884028427
2022-09-08,56200,56400,55600,55600,18000016,1006366398000,-0.71,-0.08764400940985571
2022-09-13,57000,58500,56800,58100,17166581,991015891355,4.5,-0.05805789631635637
2022-09-14,56200,57200,56100,56800,12524961,709906007000,-2.24,-0.07371341262430295
2022-09-15,57000,57100,56000,56000,11664819,657641711500,-1.41,-0.08500089377316787
2022-09-16,55600,56400,55500,56200,13456503,752455682838,0.36,-0.0757316041334657
2022-09-19,56300,57000,56000,56400,12278653,693636680000,0.36,-0.0658440401609578
2022-09-20,56400,57000,55800,55800,14041465,788331519815,-1.06,-0.052111172994631014
2022-09-21,55400,55500,55000,55300,11863700,655017421100,-0.9,-0.06516887503326697
2022-09-22,54600,54700,54300,54400,12786510,696058101600,-1.63,-0.06558610489664776
2022-09-23,54400,54900,54200,54500,10555964,575503622100,0.18,-0.07755354905841325
2022-09-26,53700,54200,53600,53900,15008449,807353273300,-1.1,-0.08800075047001264
2022-09-27,53800,54200,53500,54200,16631289,897144417709,0.56,-0.08727684651070748
2022-09-28,53900,54400,52500,52900,19991129,1064665579214,-2.4,-0.08350837873494649
2022-09-29,53300,53700,52600,52600,13882080,737730681500,-0.57,-0.07247319776124815
2022-09-30,52300,53600,51800,53100,22503249,1187343660500,0.95,-0.07626092730624649
2022-10-04,55300,55400,54500,55200,19148435,1056852669700,3.95,-0.056499069939889034
2022-10-05,56900,57200,55400,56000,22458970,1261934048318,1.45,-0.0871853187424258
2022-10-06,56700,57300,56300,56300,14944446,848081763100,0.54,-0.0722914616905162
2022-10-07,55900,56900,55200,56200,16886813,949027146468,-0.18,-0.10969365082826919
2022-10-11,54400,55700,54000,55400,21437877,1172168853325,-1.42,-0.08250903628100177
2022-10-12,55700,57000,55200,55800,18408910,1032656163200,0.72,-0.06822960267352349
2022-10-13,55400,56100,55200,55200,13784602,765435187900,-1.08,-0.08003459764487476
2022-10-14,56200,56500,55800,56300,12924326,726962989400,1.99,-0.04727249467414498
2022-10-17,55800,57000,55700,56600,13641878,769638197200,0.53,-0.0737852138659762
2022-10-18,56700,57100,55800,56500,14820702,835744764000,-0.18,-0.05960912280256116
2022-10-19,56700,56900,55700,55800,12660652,710947532900,-1.24,-0.12434788569147223
2022-10-20,55200,56000,55100,55500,17107653,949265250905,-0.54,-0.12683799688304925
2022-10-21,55100,56300,55100,55900,11456060,640343092816,0.72,-0.14930434316415164
2022-10-24,57000,57500,56700,57500,16944503,968892104300,2.86,-0.10705044464264522
2022-10-25,57000,58600,57000,57700,17405678,1009512119302,0.35,-0.08780222470026558
2022-10-26,58000,59600,57700,59400,20824967,1227076491560,2.95,-0.07350802630072874
2022-10-27,59700,60100,58900,59500,21756712,1296030977930,0.17,-0.057662774693132725
2022-10-28,58900,59200,57200,57300,20924937,1213293156195,-3.7,-0.08560828727538776
2022-10-31,58100,59900,58000,59400,18999514,1126467842000,3.66,-0.0878672869610399
2022-11-01,59900,60300,59500,60000,17201647,1030380927406,1.01,-0.10606824394243294
2022-11-02,59700,60000,59300,59600,13202919,787057605000,-0.67,-0.10922960556534508
2022-11-03,58600,59800,58100,59200,17492162,1029199659366,-0.67,-0.09282352151623177
2022-11-04,59100,59500,58400,59400,12445841,734525784600,0.34,-0.1067679815224739
2022-11-07,59700,60300,59400,60200,12437246,747350127100,1.35,-0.08799362590813169
2022-11-08,60500,61900,60500,61800,18273898,1123976801804,2.66,-0.0572649225306076
2022-11-09,62000,62200,61300,62000,14045592,869644724000,0.32,-0.07104009757737839
2022-11-10,61400,61500,60400,60400,21087633,1283005045328,-2.58,-0.08804331341856571
2022-11-11,63100,63200,62300,62900,20037163,1257129641861,4.14,-0.0484562169808323
2022-11-14,62900,62900,61700,61900,15973416,993352234080,-1.59,-0.06383793515760772
2022-11-15,62200,62500,61600,62400,12310986,764117239743,0.81,-0.011908748896185616
2022-11-16,62400,62700,61700,62700,12909260,804219667250,0.48,-0.07284571429847297
2022-11-17,62000,62000,61300,61400,13298296,819118806800,-2.07,-0.07291964255334435
2022-11-18,61800,62400,61400,61800,12236503,757454905470,0.65,-0.070909603060579
2022-11-21,61400,61800,60800,61400,9378097,573783339409,-0.65,-0.09398402801358571
2022-11-22,60900,61200,60300,60600,9411289,571460562800,-1.3,-0.10348210710520259
2022-11-23,61200,61300,60700,61000,8765050,534580211500,0.66,-0.0772329695695031
2022-11-24,61200,61700,60900,61400,8125010,497273294550,0.66,-0.09237488985157309
2022-11-25,61400,61700,60800,61000,6677933,407953216200,-0.65,-0.08798908980503299
2022-11-28,60500,60500,59800,60100,8589032,515486605100,-1.48,-0.07146422550673523
2022-11-29,59900,60600,59800,60600,7014160,422226001673,0.83,-0.09109284108025564
2022-11-30,60400,62200,60200,62200,19768903,1218354958444,2.64,-0.09890488543871095
2022-12-01,63100,63200,62300,62600,16631445,1044546161950,0.64,-0.09767448353499326
2022-12-02,62500,62500,60400,60400,15331184,935960853120,-3.51,-0.09600953475940337
2022-12-05,60900,61100,60000,60300,13767787,832613739000,-0.17,-0.12314579192612846
2022-12-06,59800,60100,59200,59200,13888300,827339804388,-1.82,-0.09768931501183242
2022-12-07,58800,59600,58500,58900,12100662,714083283900,-0.51,-0.09286317101565902
2022-12-08,58700,59200,58600,59200,12986815,766212023592,0.51,-0.09888067392558814
2022-12-09,59300,60600,59300,60400,10529632,633777717900,2.03,-0.08033292651271207
2022-12-12,59900,60000,59400,59500,9036472,538557972800,-1.49,-0.10229320735077699
2022-12-13,59600,60300,59400,59700,9040873,539587782200,0.34,-0.09277581873163065
2022-12-14,59800,60600,59800,60500,8207485,495209255105,1.34,-0.06653149526082326
2022-12-15,59800,60200,59300,59300,8716039,519762171147,-1.98,-0.1299413542170474
2022-12-16,58300,59500,58300,59500,13033596,769867746731,0.34,-0.09361114518822779
2022-12-19,59500,59900,59100,59500,7696187,457558919300,0.0,-0.06974789725164378
2022-12-20,59000,59100,58500,58600,9284761,545533294130,-1.51,-0.10207794901268134
2022-12-21,58700,59100,58000,58000,10356971,603985894600,-1.02,-0.105780523467675
2022-12-22,58100,59100,58100,59100,10720630,628698962726,1.9,-0.07014445940960042
2022-12-23,58200,58400,57700,58100,9829407,570401785680,-1.69,-0.10888531950372783
2022-12-26,58000,58100,57700,57900,6756411,391223170600,-0.34,-0.10998941693808553
2022-12-27,58000,58400,57900,58100,10667027,620410096800,0.35,-0.07146139779726145
2022-12-28,57600,57600,56400,56600,14665410,832919426100,-2.58,-0.10161446882155173
2022-12-29,56000,56200,55300,55300,11295935,628653753150,-2.3,-0.08617517214734215
